,config,benchmark,network_type,encoding,configuration,k,n_nodes,n_edges,n_vars,n_clauses,n_groups,n_Avars,utime,max_res_set_size,exit_status
15,config-0,road-roadNet-PA.mtx,road,,,1,,,,,,,218.38,3650844,0
67,config-0,road-roadNet-PA.mtx,road,,,2,,,,,,,214.07,3645004,0
119,config-0,road-roadNet-PA.mtx,road,,,3,,,,,,,207.22,3650296,0
171,config-0,road-roadNet-PA.mtx,road,,,4,,,,,,,202.22,3650980,0
223,config-0,road-roadNet-PA.mtx,road,,,6,,,,,,,205.22,3650872,0
275,config-0,road-roadNet-PA.mtx,road,,,8,,,,,,,200.27,3650868,0
327,config-0,road-roadNet-PA.mtx,road,,,10,,,,,,,214.64,3650980,0
379,config-0,road-roadNet-PA.mtx,road,,,12,,,,,,,208.14,3650840,0
431,config-0,road-roadNet-PA.mtx,road,,,16,,,,,,,197.05,3644780,0
36,config-0,soc-dolphins.mtx,social,,,1,62.0,159.0,140.0,622.0,62.0,16.0,8.42,84220,0
88,config-0,soc-dolphins.mtx,social,,,2,62.0,159.0,246.0,765.0,62.0,122.0,11.07,84240,0
140,config-0,soc-dolphins.mtx,social,,,3,62.0,159.0,266.0,843.0,62.0,142.0,8.17,84252,0
192,config-0,soc-dolphins.mtx,social,,,4,62.0,159.0,286.0,920.0,62.0,162.0,9.37,84268,0
244,config-0,soc-dolphins.mtx,social,,,6,62.0,159.0,369.0,1033.0,62.0,245.0,13.56,84284,0
296,config-0,soc-dolphins.mtx,social,,,8,62.0,159.0,406.0,1132.0,62.0,282.0,11.94,84300,0
348,config-0,soc-dolphins.mtx,social,,,10,62.0,159.0,454.0,1226.0,62.0,330.0,11.99,84312,0
400,config-0,soc-dolphins.mtx,social,,,12,62.0,159.0,486.0,1294.0,62.0,362.0,12.25,84320,0
452,config-0,soc-dolphins.mtx,social,,,16,62.0,159.0,563.0,1412.0,62.0,439.0,13.14,84344,0
6,config-0,soccer_ball.txt,geometric,,,1,32.0,90.0,79.0,334.0,32.0,15.0,4.59,48880,0
58,config-0,soccer_ball.txt,geometric,,,2,32.0,90.0,126.0,407.0,32.0,62.0,3.58,48880,0
